DATE,IRLTLT01PTM156N
2016-06-01,3.2
2016-07-01,3.06
2016-08-01,2.91
2016-09-01,3.26
2016-10-01,3.33
2016-11-01,3.51
2016-12-01,3.74
2017-01-01,3.95
2017-02-01,4.04
2017-03-01,3.99
2017-04-01,3.77
2017-05-01,3.29
2017-06-01,2.97
2017-07-01,3.03
2017-08-01,2.83
2017-09-01,2.63
2017-10-01,2.32
2017-11-01,1.98
2017-12-01,1.83
2018-01-01,1.85
2018-02-01,2.03
2018-03-01,1.79
2018-04-01,1.66
2018-05-01,1.84
2018-06-01,1.87
2018-07-01,1.76
